"","X..Voix.Exp","X..Voix.Exp.1","X..Voix.Exp.2","X..Voix.Exp.3","X..Voix.Exp.4","X..Voix.Exp.5","X..Voix.Exp.6","X..Voix.Exp.7","X..Voix.Exp.8","X..Voix.Exp.9","X..Voix.Exp.10","X..Voix.Exp.11","Code.du.b.vote","Abstentions"
"1","0,75","1,5","18,01","1,31","14,07","6,38","43,71","1,31","3,75","6,94","0,38","1,88",1,190
"2","0,33","3,31","26,16","2,81","13,58","5,13","36,09","0,5","5,13","4,8","1,16","0,99",2,198
"3","0","1,49","15,77","1,34","8,93","3,72","59,23","1,64","2,08","3,57","0,6","1,64",3,285
"4","0,18","0,55","15,33","1,09","12,77","3,28","61,13","0,55","1,64","2,19","0,18","1,09",4,291
"5","0,19","0,19","13,88","0,38","3,61","0,95","77,95","0,76","0","0,95","0,57","0,57",5,285
"6","0,34","1,52","18,55","0,67","6,07","5,06","61,72","0,84","0,67","2,19","0,51","1,85",6,262
"7","0,19","1,5","17,6","1,69","9,55","3,93","59,36","1,87","0,37","2,25","0,94","0,75",7,295
"8","0,23","3,2","19,41","1,37","10,05","4,57","49,77","1,37","2,97","4,57","0,91","1,6",12,178
"9","0,37","2,24","18,13","2,06","13,08","5,61","46,73","1,5","3,36","4,49","0,56","1,87",18,200
"10","0,41","2,25","22,54","2,05","10,45","6,97","42,01","2,05","2,87","5,94","0,61","1,84",19,161
"11","0,59","0,99","17,36","0,59","6,9","2,56","66,07","1,18","1,38","1,78","0,39","0,2",20,257
"12","0,54","0,36","13,29","0,18","9,87","2,69","68,76","0,9","0,18","1,44","1,08","0,72",21,306
"13","0,25","1,02","17,01","0,51","13,45","6,85","53,55","0,51","1,78","3,81","0,25","1,02",22,196
"14","0,19","0,78","12,21","1,36","7,36","1,94","72,09","1,16","0,19","0,58","0,78","1,36",24,267
"15","1,24","0,71","18,58","1,24","8,67","2,3","62,48","0,35","1,59","1,24","0,71","0,88",25,277
"16","1,4","1,17","26,64","2,34","18,69","5,14","36,21","1,4","2,8","2,57","0,7","0,93",29,160
"17","0,34","2,55","14,29","2,89","17,01","3,91","53,74","0,68","1,02","2,21","0,51","0,85",8,322
"18","0,78","0,78","18,22","1,16","11,24","2,52","61,05","0,58","0,78","2,13","0,19","0,58",9,273
"19","0,55","0,55","15,99","1,47","13,42","2,39","59,74","1,29","1,65","1,1","1,1","0,74",10,263
"20","0,81","0,81","20,4","1,62","14,14","4,04","48,69","0","2,83","3,64","0,4","2,63",11,219
"21","0,46","1,38","22,3","1,61","14,02","3,91","45,98","1,15","2,3","4,37","0,92","1,61",13,153
"22","0,93","1,85","18,06","1,16","12,5","3,24","55,56","0,46","1,16","3,01","0,69","1,39",14,267
"23","0,43","1,29","20,14","1,86","18,71","6","40,14","0,71","2,71","4,86","1,71","1,43",15,247
"24","0,32","1,94","26,05","1,46","9,55","4,69","47,09","1,29","2,1","3,88","0,32","1,29",16,181
"25","0,48","1,43","19,11","1,91","11,15","4,78","52,07","1,11","4,14","2,87","0,32","0,64",17,254
"26","0,69","3,1","19,14","0,86","15","5,17","45,69","0,86","4,14","2,93","0,52","1,9",23,208
"27","0,34","0,51","15,82","0,34","6,8","2,38","68,71","1,19","0,68","1,87","0,51","0,85",26,299
"28","0,15","3,95","16,72","2,58","14,59","5,47","47,87","0,61","3,04","3,19","0,76","1,06",27,264
"29","0,54","1,8","21,9","1,8","8,8","2,69","52,42","1,08","2,33","5,39","0,18","1,08",28,231
"30","0,51","2,83","29,05","2,83","18,25","4,63","31,36","1,8","3,08","4,63","0","1,03",30,104
"31","0,32","1,94","21,97","1,13","12,76","4,04","48,47","0,81","2,91","3,88","0,97","0,81",31,243
"32","0,36","1,07","21","1,07","10,68","3,2","52,85","0,71","3,38","2,85","0,89","1,96",32,213
